Company,Recommendations
MMM,3.00
MNST,2.10
MO,2.10
MOS,2.20
MPC,1.90
MPWR,1.80
MRK,2.00
MRO,2.60
MS,2.10
MSCI,2.30
MSFT,1.70
MSI,1.80
MTB,2.60
MTD,3.20
MU,1.90
MXIM,2.80
NCLH,2.40
NDAQ,2.30
NEE,2.00
NEM,2.00
NFLX,2.00
NI,1.90
NKE,1.90
NLOK,2.30
NLSN,2.10
NOC,2.00
NOV,2.40
NOW,1.70
NRG,2.10
NSC,2.30
NTAP,2.50
NTRS,2.90
NUE,2.40
NVDA,2.00
NVR,2.70
NWL,2.70
NWS,6
NWSA,1.90
NXPI,2.10
O,2.30
ODFL,2.30
OKE,2.80
OMC,2.80
ORCL,2.80
ORLY,2.10
OTIS,2.20
OXY,2.90
PAYC,1.80
PAYX,3.00
PBCT,3.00
PCAR,2.60
PEAK,2.30
PEG,2.30
PENN,2.40
PEP,2.30
PFE,2.60
PFG,2.70
PG,2.50
PGR,2.70
PH,2.00
PHM,2.20
PKG,2.80
PKI,2.20
PLD,1.90
PM,2.00
PNC,2.60
PNR,2.60
PNW,2.70
POOL,2.30
PPG,2.20
PPL,2.50
PRGO,2.70
PRU,2.70
PSA,2.70
PSX,1.90
PTC,1.90
PVH,2.40
PWR,1.90
PXD,1.90
PYPL,1.80
QCOM,2.00
QRVO,2.20
RCL,2.60
RE,1.80
REG,2.40
REGN,2.00
RF,2.20
RHI,2.80
RJF,2.00
RL,2.50
RMD,2.60
ROK,2.60
ROL,2.30
ROP,2.50
ROST,1.90
RSG,2.20
RTX,2.00
SBAC,1.90
SBUX,2.20
SCHW,2.00
SEE,2.10
SHW,2.30
SIVB,2.30
SJM,3.20
SLB,2.10
SNA,2.70
SNPS,2.00
SO,2.60
SPG,2.40
SPGI,1.70
SRE,2.10
STE,2.00
STT,2.40
STX,2.50
STZ,2.10
SWK,2.20
SWKS,2.30
SYF,1.90
SYK,2.20
SYY,2.50
T,2.90
TAP,2.80
TDG,2.20
TDY,1.60
TEL,2.20
TER,2.20
TFC,2.30
TFX,1.60
TGT,1.90
TJX,1.80
TMO,1.70
TMUS,1.90
TPR,2.30
TRMB,2.00
TROW,3.00
TRV,2.70
TSCO,2.30
TSLA,2.80
TSN,2.20
TT,2.60
TTWO,2.20
TWTR,2.70
TXN,2.40
TXT,2.40
TYL,2.10
UA,3.50
UAA,2.70
UAL,2.60
UDR,2.40
UHS,2.40
ULTA,2.30
UNH,1.80
UNM,3.00
UNP,2.00
UPS,2.40
URI,2.40
USB,2.20
V,1.80
VFC,2.20
VIAC,2.90
VLO,1.80
VMC,2.40
VNO,3.00
VRSK,2.20
VRSN,2.00
VRTX,1.80
VTR,2.90
VTRS,2.40
VZ,2.70
WAB,2.30
WAT,3.20
WBA,3.00
WDC,2.20
WEC,3.10
WELL,2.60
WFC,2.20
WHR,2.70
WLTW,2.30
WM,2.40
WMB,2.00
WMT,1.90
WRB,2.80
WRK,2.10
WST,2.00
WU,2.90
WY,2.00
WYNN,2.30
XEL,2.90
XLNX,2.80
XOM,2.60
XRAY,1.90
XYL,2.90
YUM,2.50
ZBH,1.80
ZBRA,2.10
ZION,2.70
ZTS,1.90
