Name,Last_Price,RSI,Pct Change 200 days
ATRC,77.66999816894531,68.00715213456108,0.5922672076487058
BECN,60.25,68.4304808772633,0.5852843564395359
CAKE,63.77999877929688,66.90908098877858,0.6749097799704226
DCOM,34.59999847412109,66.27316798283198,0.6684588203328834
FOXF,160.3000030517578,69.65913564962958,0.5574024028597134
GIII,34.490001678466804,66.37681725628923,0.6370217354244658
GT,19.670000076293945,64.85567952415401,0.6923705764166566
GTLS,160.13999938964844,69.46177695498231,0.5541129959199455
HCCI,32.919998168945305,68.43500292932282,0.6247482032350199
IMKTA,65.70999908447266,67.97873506077144,0.5455975755464876
KFRC,60.16999816894531,67.03868483757023,0.5011388429123149
KIRK,32.09000015258789,68.7603308130064,0.801880216516937
LPLA,156.0,68.07005176280639,0.592764761164332
SASR,47.56000137329102,69.85509297549604,0.5801898609941178
SBNY,255.05999755859372,69.41511198334548,0.8361634612368205
STAA,137.78999328613278,67.26117749885186,0.7322193363646567
TACT,12.6899995803833,67.24889338471229,0.5397962223483249
TBBK,24.35000038146973,65.52707512566226,0.6250179558770591
TOWN,32.720001220703125,64.96124090608808,0.5052606438381776
